id,title,artist,videoId,titleKana,titleRomaji,titleEn,artistKana,artistRomaji,active
song001,アイドル,YOASOBI,ZRtdQ81jPUQ,あいどる,Idol,Idol,よあそび,YOASOBI,TRUE
song004,紅蓮華,LiSA,x1FV6IrjZCY,ぐれんげ,Gurenge,,りさ,LiSA,TRUE
song005,Pretender,Official髭男dism,TQ8WlA2GXbk,ぷりてんだー,Pretender,Pretender,おふぃしゃるひげだんでぃずむ,Official HIGE DANdism,TRUE
